"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","1168","149",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","1378","105",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","1323","162",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","1431","155",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","1347","172",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","1195","62",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","1383","72",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","1273","206",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","1556","172",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","1390","130",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","1415","133",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","1411","157",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","1398","232",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","1336","85",
"1400000US17031020302","Census Tract 203.02; Cook County; Illinois","1632","264",
"1400000US17031020400","Census Tract 204; Cook County; Illinois","1463","99",
"1400000US17031020500","Census Tract 205; Cook County; Illinois","1346","91",
"1400000US17031020601","Census Tract 206.01; Cook County; Illinois","1477","153",
"1400000US17031020602","Census Tract 206.02; Cook County; Illinois","1627","114",
"1400000US17031020701","Census Tract 207.01; Cook County; Illinois","1719","88",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","1441","337",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","1331","133",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","1500","196",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","1518","162",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","1323","136",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","1267","112",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","1199","139",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","1268","108",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","1505","291",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","1588","259",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","1124","100",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","1467","225",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","1778","139",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","1228","124",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","1185","65",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","1416","179",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","1105","91",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","1466","157",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","1387","200",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","1799","176",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","1657","286",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","1548","156",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","1726","206",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","1444","141",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","1033","261",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","1247","138",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","1747","92",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","1087","405",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","1331","184",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","1218","70",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","1469","117",
