"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","74145","3495",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","63056","21160",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","53220","14868",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","73105","16064",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","54083","9232",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","48833","11527",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","63125","11481",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","32443","17027",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","72500","19955",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","74813","18284",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","61724","7345",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","64904","20863",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","120625","14804",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","78385","20539",
"1400000US17031020302","Census Tract 203.02; Cook County; Illinois","71250","12211",
"1400000US17031020400","Census Tract 204; Cook County; Illinois","73790","26057",
"1400000US17031020500","Census Tract 205; Cook County; Illinois","37819","30497",
"1400000US17031020601","Census Tract 206.01; Cook County; Illinois","64127","9285",
"1400000US17031020602","Census Tract 206.02; Cook County; Illinois","89663","37315",
"1400000US17031020701","Census Tract 207.01; Cook County; Illinois","108568","17248",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","63906","17677",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","74931","25933",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","68725","12683",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","56291","8621",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","45547","14825",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","48929","18460",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","59826","7751",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","49545","16861",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","41823","10636",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","108466","18807",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","68933","20922",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","98909","16107",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","127055","11147",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","52917","13298",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","49674","14186",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","51688","13629",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","44948","13984",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","60603","14553",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","74702","10599",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","52167","9687",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","105585","15118",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","87485","21521",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","132147","30871",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","92717","14407",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","25713","10158",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","68942","13509",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","93026","12239",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","52250","14763",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","49684","3308",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","79867","11481",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","82313","14425",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","94107","18582",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","72515","20598",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","90952","26166",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","104484","22404",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","67832","13521",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","78879","31593",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","108899","25410",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","99201","14332",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","89091","11944",
"1400000US17031040700","Census Tract 407; Cook County; Illinois","105365","7896",
"1400000US17031040800","Census Tract 408; Cook County; Illinois","114397","36978",
"1400000US17031040900","Census Tract 409; Cook County; Illinois","86359","25319",
"1400000US17031050100","Census Tract 501; Cook County; Illinois","116438","38214",
"1400000US17031050200","Census Tract 502; Cook County; Illinois","133708","10395",
"1400000US17031050300","Census Tract 503; Cook County; Illinois","151630","31876",
"1400000US17031050500","Census Tract 505; Cook County; Illinois","141563","19907",
