"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","1596","287","132","151","138","103","153","156","279","191","113","89","133","126","88","92","202","138","358","156","0","13",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","2047","392","0","18","240","162","348","231","245","127","88","95","167","105","62","73","351","195","299","165","247","251",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","889","163","0","13","100","68","64","48","74","47","106","68","43","36","24","27","241","138","221","97","16","28",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","2176","319","44","52","105","95","259","139","479","207","209","96","73","68","115","110","83","75","690","370","119","138",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","1632","419","24","38","113","85","235","153","234","188","169","128","203","141","67","79","0","13","569","412","18","29",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","2065","288","10","15","88","70","154","108","336","153","360","216","348","177","144","114","97","102","511","221","17","26",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","1222","166","24","27","65","42","166","97","231","113","38","47","97","47","66","45","119","62","380","116","36","45",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","1301","182","27","31","67","42","132","78","69","59","312","161","123","65","21","25","148","97","353","153","49","41",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","1802","316","38","46","105","162","331","141","114","79","294","180","299","213","72","72","152","125","378","164","19","31",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","835","215","0","13","57","65","194","82","115","58","41","35","43","53","53","55","199","183","133","86","0","13",
