"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","2284","356","688","245","1596","287",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","2972","356","925","273","2047","392",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","1139","161","250","92","889","163",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","3243","272","1067","219","2176","319",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","2099","430","467","174","1632","419",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","2458","264","393","173","2065","288",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","1606","155","384","127","1222","166",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","1455","160","154","97","1301","182",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","3132","255","1330","344","1802","316",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","1687","183","852","160","835","215",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","1948","176","342","119","1606","210",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","1676","157","683","152","993","206",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","2052","252","1707","274","345","172",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","2094","250","1528","297","566","209",
"1400000US17031020302","Census Tract 203.02; Cook County; Illinois","1807","191","1133","196","674","135",
"1400000US17031020400","Census Tract 204; Cook County; Illinois","1658","182","807","117","851","186",
"1400000US17031020500","Census Tract 205; Cook County; Illinois","2313","286","743","219","1570","338",
"1400000US17031020601","Census Tract 206.01; Cook County; Illinois","2074","277","811","215","1263","296",
"1400000US17031020602","Census Tract 206.02; Cook County; Illinois","1637","333","1027","323","610","217",
"1400000US17031020701","Census Tract 207.01; Cook County; Illinois","751","149","497","154","254","78",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","2620","254","1283","326","1337","265",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","2211","361","951","218","1260","395",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","2086","268","836","248","1250","271",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","2143","294","743","241","1400","250",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","1481","226","717","163","764","229",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","2270","200","598","160","1672","229",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","2028","193","790","193","1238","179",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","1100","120","313","113","787","124",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","1101","130","371","90","730","143",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","2614","282","1360","231","1254","335",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","1441","202","483","152","958","193",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","1394","108","592","107","802","126",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","3120","284","1720","283","1400","254",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","1974","257","531","133","1443","263",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","1302","146","121","70","1181","153",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","2234","196","562","140","1672","208",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","917","73","187","63","730","75",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","1482","172","893","141","589","187",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","1858","257","554","95","1304","260",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","1936","173","659","209","1277","183",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","2211","232","1086","181","1125","228",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","1519","206","592","126","927","230",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","2195","277","892","198","1303","272",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","3108","316","636","179","2472","391",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","3413","392","629","224","2784","397",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","4216","422","1586","455","2630","461",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","3128","345","1415","223","1713","338",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","2094","193","383","157","1711","228",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","2533","324","182","105","2351","326",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","3341","304","1279","268","2062","256",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","951","110","409","77","542","110",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","1417","193","503","100","914","186",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","4220","479","956","385","3264","403",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","1974","203","943","157","1031","207",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","3188","345","1520","302","1668","309",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","2839","205","1120","241","1719","287",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","1126","123","731","129","395","123",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","1579","212","867","173","712","150",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","2507","284","617","174","1890","267",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","1276","188","592","163","684","145",
"1400000US17031040700","Census Tract 407; Cook County; Illinois","1683","169","675","119","1008","184",
"1400000US17031040800","Census Tract 408; Cook County; Illinois","824","127","344","71","480","135",
"1400000US17031040900","Census Tract 409; Cook County; Illinois","1145","168","425","73","720","172",
"1400000US17031050100","Census Tract 501; Cook County; Illinois","1117","162","499","123","618","126",
