"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","2905","283","0","13","42","48","118","71","207","133","0","13","61","59","167","110","391","203","316","173","1603","336",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","3276","299","0","18","86","78","32","50","204","193","85","76","538","265","220","136","375","172","247","145","1489","352",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","1306","129","0","13","32","40","132","117","117","93","67","59","84","55","126","80","212","112","62","35","474","111",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","3420","289","25","41","61","68","27","31","73","65","422","301","218","146","454","184","116","109","332","155","1692","294",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","2451","436","0","13","72","87","41","47","20","33","141","115","252","142","349","155","214","152","181","121","1181","450",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","2691","227","49","55","278","180","66","74","124","155","277","112","325","119","193","124","146","157","219","105","1014","276",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","1857","129","0","13","0","13","41","37","33","30","96","61","178","87","131","88","132","97","117","72","1129","165",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","1572","144","0","13","243","113","139","96","24","38","116","77","65","56","248","130","136","99","106","98","495","141",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","3181","269","0","18","0","18","162","144","118","85","138","140","278","184","493","241","309","203","27","33","1656","322",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","1782","195","0","13","0","13","37","37","13","17","143","168","155","77","163","88","109","64","137","96","1025","175",
